"353","Moorefield Girls High School","3.8 %","49","292","11","b'Government'","b'Metro'"
"354","John Therry Catholic High School","3.8 %","98","558","21","b'Non-government'","b'Metro'"
"355","Arthur Phillip High School","3.7 %","184","947","35","b'Government'","b'Metro'"
"356","OTEN - Open Training and Education Network","3.7 %","70","379","14","b'\xc2\xa0'","b'\xc2\xa0'"
"357","Richard Johnson Anglican School","3.7 %","64","353","13","b'Non-government'","b'Metro'"
"358","Kingsgrove North High School","3.7 %","91","490","18","b'Government'","b'Metro'"
"359","Lumen Christi Catholic College","3.7 %","72","437","16","b'Non-government'","b'Country'"
"359","St Paul's College (Walla Walla)","3.7 %","34","191","7","b'Non-government'","b'Country'"
"361","Greystanes High School","3.6 %","90","555","20","b'Government'","b'Metro'"
"361","The Armidale School","3.6 %","73","417","15","b'Non-government'","b'Country'"
"363","Kingscliff High School","3.5 %","112","624","22","b'Government'","b'Country'"
"363","Orange High School","3.5 %","87","481","17","b'Government'","b'Country'"
"365","Birrong Girls High School","3.5 %","103","542","19","b'Government'","b'Metro'"
"366","Kyogle High School","3.5 %","41","230","8","b'Government'","b'Country'"
"367","Charlton Christian College","3.5 %","40","260","9","b'Non-government'","b'Metro'"
"367","Scone High School","3.5 %","39","231","8","b'Government'","b'Country'"
"369","Camden High School","3.4 %","97","524","18","b'Government'","b'Metro'"
"370","Dubbo Christian School","3.4 %","35","175","6","b'Non-government'","b'Country'"
"371","Liverpool Girls High School","3.4 %","170","876","30","b'Government'","b'Metro'"
"372","Xavier High School","3.4 %","99","587","20","b'Non-government'","b'Country'"
"373","St John The Evangelist Catholic High School","3.4 %","105","590","20","b'Non-government'","b'Country'"
"374","Leeton High School","3.4 %","27","179","6","b'Government'","b'Country'"
"374","South Grafton High School","3.4 %","77","418","14","b'Government'","b'Country'"
"376","Scone Grammar School","3.3 %","29","150","5","b'Non-government'","b'Country'"
"377","Gymea Technology High School","3.3 %","72","392","13","b'Government'","b'Metro'"
"377","Moss Vale High School","3.3 %","39","211","7","b'Government'","b'Country'"
"379","Alstonville High School","3.3 %","112","605","20","b'Government'","b'Country'"
"380","Crookwell High School","3.2 %","33","155","5","b'Government'","b'Country'"
"380","Homebush Boys High School","3.2 %","187","960","31","b'Government'","b'Metro'"
"382","South Sydney High School","3.2 %","60","342","11","b'Government'","b'Metro'"
"383","The Forest High School","3.2 %","126","593","19","b'Government'","b'Metro'"
"384","Gorokan High School","3.2 %","83","407","13","b'Govt. selective'","b'Country'"
"385","Coffs Harbour High School","3.2 %","48","284","9","b'Government'","b'Country'"
"386","Kariong Mountains High School","3.2 %","56","317","10","b'Government'","b'Metro'"
"387","Terrigal High School","3.1 %","118","645","20","b'Government'","b'Country'"
"388","Lisarow High School","3.1 %","92","518","16","b'Government'","b'Country'"
"389","Bowral High School","3.0 %","70","399","12","b'Government'","b'Country'"
"389","Patrician Brothers' College Blacktown","3.0 %","125","763","23","b'Non-government'","b'Metro'"
"389","Springwood High School","3.0 %","86","465","14","b'Government'","b'Metro'"
"392","Griffith High School","3.0 %","33","200","6","b'Government'","b'Metro'"
"392","John Edmondson High School","3.0 %","145","834","25","b'Government'","b'Metro'"
"394","Mulwaree High School","3.0 %","67","368","11","b'Government'","b'Country'"
"395","Erskine Park High School","3.0 %","58","370","11","b'Government'","b'Metro'"
"396","Colo High School","3.0 %","98","507","15","b'Government'","b'Metro'"
"397","Duval High School","2.9 %","47","272","8","b'Government'","b'Country'"
"397","Maclean High School","2.9 %","100","511","15","b'Government'","b'Country'"
"399","Wyong Christian Community School","2.9 %","28","172","5","b'Non-government'","b'Country'"
"400","Loyola Senior High School","2.9 %","150","805","23","b'Non-government'","b'Metro'"
"401","J J Cahill Memorial High School","2.8 %","28","177","5","b'Government'","b'Metro'"
"402","East Hills Boys High School","2.8 %","107","572","16","b'Government'","b'Metro'"
"402","Elizabeth Macarthur High School","2.8 %","80","465","13","b'Government'","b'Metro'"
"404","Regents Park Christian School","2.8 %","76","395","11","b'Non-government'","b'Metro'"
"405","Wauchope High School","2.8 %","38","253","7","b'Government'","b'Country'"
"406","St Edward's Christian Brothers' College","2.8 %","125","691","19","b'Non-government'","b'Metro'"
"407","Cowra High School","2.7 %","50","261","7","b'Government'","b'Country'"
"408","Parkes High School","2.7 %","62","338","9","b'Government'","b'Country'"
"409","Trinity Catholic College Goulburn","2.7 %","60","340","9","b'Non-government'","b'Country'"
"410","Heathcote High School","2.6 %","72","419","11","b'Government'","b'Metro'"
"411","Cedars Christian College","2.6 %","38","191","5","b'Non-government'","b'Metro'"
"411","Dungog High School","2.6 %","44","229","6","b'Government'","b'Country'"
"413","Lithgow High School","2.6 %","81","459","12","b'Government'","b'Country'"
"414","Mitchell High School","2.6 %","111","621","16","b'Government'","b'Metro'"
"415","McCarthy Catholic College","2.6 %","120","702","18","b'Non-government'","b'Metro'"
"416","Brisbane Water Secondary College Woy Woy Campus","2.5 %","138","673","17","b'Government'","b'Country'"
"417","Whitebridge High School","2.5 %","95","525","13","b'Government'","b'Country'"
"418","Tomaree High School","2.5 %","108","607","15","b'Government'","b'Metro'"
"419","Forbes High School","2.5 %","28","163","4","b'Government'","b'Country'"
"419","Woonona High School","2.5 %","52","286","7","b'Government'","b'Country'"
"421","Mount View High School","2.4 %","59","328","8","b'Government'","b'Metro'"
"421","Taree High School","2.4 %","95","533","13","b'Government'","b'Country'"
"423","Narrabeen Sports High School","2.4 %","41","207","5","b'Government'","b'Metro'"
"424","Southern Cross School","2.4 %","38","250","6","b'Government'","b'Country'"
"425","Mount Annan Christian College","2.4 %","41","209","5","b'Non-government'","b'Metro'"
"426","James Fallon High School","2.4 %","62","380","9","b'Government'","b'Country'"
"427","Tumut High School","2.3 %","50","347","8","b'Government'","b'Country'"
"428","Chester Hill High School","2.3 %","135","742","17","b'Government'","b'Metro'"
"428","Narrandera High School","2.3 %","32","175","4","b'Government'","b'Country'"
"430","Belmont High School","2.3 %","65","351","8","b'Government'","b'Country'"
"431","Wycliffe Christian School","2.3 %","33","177","4","b'Non-government'","b'Metro'"
"432","Yanco Agricultural High School","2.3 %","51","311","7","b'Govt. selective'","b'Country'"
"433","Canterbury Boys High School","2.2 %","93","401","9","b'Government'","b'Metro'"
"433","Emmaus Catholic College","2.2 %","107","580","13","b'Non-government'","b'Metro'"
"435","Jamison High School","2.2 %","75","449","10","b'Government'","b'Metro'"
"436","Sylvania High School","2.2 %","63","362","8","b'Government'","b'Metro'"
"437","Oxley High School","2.2 %","78","413","9","b'Government'","b'Country'"
"437","Wyong High School","2.2 %","45","275","6","b'Government'","b'Country'"
"439","Wollumbin High School","2.2 %","32","186","4","b'Government'","b'Country'"
"440","Condell Park High School","2.1 %","47","281","6","b'Government'","b'Metro'"
"441","Wyndham College","2.1 %","219","1194","25","b'Government'","b'Metro'"
"442","Billabong High School","2.1 %","29","193","4","b'Government'","b'Country'"
"443","St Narsai Assyrian Christian College","2.1 %","60","341","7","b'Non-government'","b'Metro'"
"444","Murray High School","2.0 %","72","392","8","b'Government'","b'Country'"
"444","Randwick Boys High School","2.0 %","100","490","10","b'Government'","b'Metro'"
"444","Young High School","2.0 %","46","245","5","b'Government'","b'Country'"
"447","Denison College of Secondary Education Bathurst High Campus","2.0 %","71","400","8","b'Government'","b'Country'"
"448","Warilla High School","2.0 %","97","552","11","b'Government'","b'Metro'"
"449","Wade High School","2.0 %","79","406","8","b'Government'","b'Country'"
"450","Carroll College","1.9 %","53","310","6","b'Non-government'","b'Country'"
"451","Dubbo College Senior Campus","1.9 %","176","837","16","b'Government'","b'Country'"
"451","Gloucester High School","1.9 %","24","157","3","b'Government'","b'Country'"
"453","Macintyre High School","1.9 %","34","213","4","b'Government'","b'Metro'"
"454","Warrawong High School","1.8 %","33","217","4","b'Government'","b'Country'"
"455","Broken Hill High School","1.8 %","36","223","4","b'Government'","b'Country'"
"456","Nambucca Heads High School","1.8 %","35","169","3","b'Government'","b'Country'"
"457","Dapto High School","1.8 %","83","512","9","b'Government'","b'Country'"
"458","Sydney Institute - Randwick College","1.8 %","44","285","5","b'\xc2\xa0'","b'\xc2\xa0'"
"459","Albion Park High School","1.7 %","62","345","6","b'Government'","b'Country'"
"460","Farrer Memorial Agricultural High School","1.7 %","56","346","6","b'Government'","b'Country'"
"460","Lake Illawarra High School","1.7 %","58","346","6","b'Government'","b'Country'"
"460","Murwillumbah High School","1.7 %","52","289","5","b'Government'","b'Country'"
"463","Leumeah High School","1.7 %","74","408","7","b'Government'","b'Metro'"
"463","Moree Secondary College Albert St Campus","1.7 %","47","233","4","b'Government'","b'Country'"
"465","Picton High School","1.7 %","79","473","8","b'Government'","b'Country'"
"466","Lucas Heights Community School","1.7 %","55","297","5","b'Government'","b'Country'"
"467","Nepean Creative and Performing Arts High School","1.7 %","82","483","8","b'Government'","b'Metro'"
"468","James Cook Boys High School","1.6 %","35","183","3","b'Government'","b'Metro'"
"469","Richmond High School","1.6 %","54","306","5","b'Government'","b'Metro'"
"470","Peel High School","1.6 %","40","185","3","b'Government'","b'Country'"
"471","Karabar High School","1.6 %","95","575","9","b'Government'","b'Metro'"
"471","Singleton High School","1.6 %","121","638","10","b'Government'","b'Country'"
"473","Hunter River High School","1.5 %","43","259","4","b'Government'","b'Metro'"
"474","Melville High School","1.5 %","77","395","6","b'Government'","b'Country'"
"475","Macksville High School","1.5 %","41","269","4","b'Government'","b'Country'"
"475","Mudgee High School","1.5 %","89","470","7","b'Government'","b'Country'"
"475","Wiley Park Girls High School","1.5 %","46","403","6","b'Government'","b'Metro'"
"478","Toronto High School","1.5 %","67","406","6","b'Government'","b'Country'"
"479","Katoomba High School","1.5 %","47","273","4","b'Government'","b'Metro'"
"480","Northern Sydney Institute - North Sydney College","1.5 %","33","206","3","b'\xc2\xa0'","b'Metro'"
"481","Casino High School","1.5 %","52","275","4","b'Government'","b'Country'"
"481","Penrith Christian School","1.5 %","40","207","3","b'Non-government'","b'Metro'"
"483","Orara High School","1.4 %","41","212","3","b'Government'","b'Country'"
"484","La Salle Academy","1.4 %","40","213","3","b'Non-government'","b'Country'"
"485","Plumpton High School","1.4 %","81","434","6","b'Government'","b'Metro'"
"486","Glenmore Park High School","1.4 %","64","364","5","b'Government'","b'Metro'"
"486","Muswellbrook High School","1.4 %","61","293","4","b'Government'","b'Country'"
"486","Narrabri High School","1.4 %","53","293","4","b'Government'","b'Country'"
"489","Mount Annan High School","1.4 %","52","296","4","b'Government'","b'Metro'"
"490","Richmond River High School","1.3 %","72","447","6","b'Government'","b'Country'"
"491","Cardiff High School","1.3 %","46","304","4","b'Government'","b'Country'"
"491","Goulburn High School","1.3 %","46","227","3","b'Government'","b'Country'"
"493","Temora High School","1.3 %","48","305","4","b'Government'","b'Country'"
"494","Bankstown Girls High School","1.3 %","76","386","5","b'Government'","b'Metro'"
"495","Bomaderry High School","1.3 %","63","310","4","b'Government'","b'Country'"
"495","Irrawang High School","1.3 %","37","233","3","b'Government'","b'Metro'"
"495","Morisset High School","1.3 %","47","309","4","b'Government'","b'Country'"
"498","Karabar High School Distance Education Centre","1.3 %","35","314","4","b'Government'","b'Metro'"
"499","St Dominic's College","1.3 %","105","638","8","b'Non-government'","b'Metro'"
"500","Bega High School","1.2 %","71","407","5","b'Government'","b'Country'"
"501","Cootamundra High School","1.2 %","27","165","2","b'Government'","b'Country'"
"502","Delany College","1.2 %","42","250","3","b'Non-government'","b'Metro'"
"503","Ashfield Boys High School","1.2 %","100","513","6","b'Government'","b'Metro'"
"504","Rooty Hill High School","1.1 %","109","527","6","b'Government'","b'Metro'"
"505","Mullumbimby High School","1.1 %","64","353","4","b'Government'","b'Country'"
"506","Dubbo School of Distance Education","1.1 %","23","364","4","b'Government'","b'Country'"
"507","Strathfield South High School","1.1 %","115","550","6","b'Government'","b'Metro'"
"508","Callaghan College Jesmond Campus","1.1 %","150","941","10","b'Government'","b'Country'"
"508","Doonside High School","1.1 %","57","377","4","b'Government'","b'Metro'"
"508","Glendale High School","1.1 %","66","376","4","b'Government'","b'Metro'"
"508","Mountain View Adventist College","1.1 %","31","189","2","b'Non-government'","b'Metro'"
"508","Tuggerah Lakes Secondary College The Entrance Campus","1.1 %","226","1231","13","b'Government'","b'Metro'"
"513","Holroyd High School","1.1 %","69","381","4","b'Government'","b'Metro'"
"514","Ulladulla High School","1.0 %","111","583","6","b'Government'","b'Country'"
"515","Batemans Bay High School","1.0 %","56","295","3","b'Government'","b'Country'"
"516","The Rivers Secondary College,Kadina High school Campus","1.0 %","32","199","2","b'Government'","b'Country'"
"517","Hoxton Park High School","1.0 %","74","406","4","b'Government'","b'Metro'"
"518","Ashcroft High School","1.0 %","45","205","2","b'Government'","b'Metro'"
"518","Denison College of Secondary Education Kelso High Campus","1.0 %","57","307","3","b'Government'","b'Country'"
"520","Vincentia High School","1.0 %","75","412","4","b'Government'","b'Country'"
"521","Newcastle High School","1.0 %","75","422","4","b'Government'","b'Metro'"
"522","Yass High School","0.9 %","46","219","2","b'Government'","b'Country'"
"523","Tweed River High School","0.9 %","82","462","4","b'Government'","b'Metro'"
"524","Bradfield College","0.9 %","83","473","4","b'Government'","b'Metro'"
"524","Queanbeyan High School","0.9 %","29","234","2","b'Government'","b'Country'"
"524","Swansea High School","0.9 %","42","236","2","b'Government'","b'Metro'"
"527","Auburn Girls High School","0.8 %","87","484","4","b'Govt. selective'","b'Metro'"
"527","Banora Point High School","0.8 %","41","242","2","b'Government'","b'Country'"
"529","Sir Joseph Banks High School","0.8 %","35","254","2","b'Government'","b'Metro'"
"530","Campbelltown Performing Arts High School","0.8 %","81","528","4","b'Government'","b'Metro'"
"531","Monaro High School","0.7 %","37","269","2","b'Government'","b'Country'"
"532","Figtree High School","0.7 %","124","681","5","b'Government'","b'Country'"
"533","Liverpool Boys High School","0.7 %","78","417","3","b'Government'","b'Metro'"
"533","Merrylands High School","0.7 %","70","416","3","b'Government'","b'Metro'"
"535","Ambarvale High School","0.7 %","43","286","2","b'Government'","b'Metro'"
"536","Grafton High School","0.7 %","79","453","3","b'Govt. selective'","b'Country'"
"537","Canowindra High School","0.7 %","23","153","1","b'Government'","b'Country'"
"537","Evans River Community School","0.7 %","17","154","1","b'Government'","b'Country'"
"539","Rutherford High School","0.6 %","48","324","2","b'Government'","b'Country'"
"540","Kempsey High School","0.6 %","34","163","1","b'Government'","b'Country'"
"540","Wadalba Community School","0.6 %","85","491","3","b'Government'","b'Country'"
"542","Belmore Boys High School","0.6 %","32","167","1","b'Government'","b'Metro'"
"543","Illawarra Sports High School","0.6 %","62","347","2","b'Government'","b'Metro'"
"543","Wingham High School","0.6 %","59","346","2","b'Government'","b'Country'"
"545","Mount Austin High School","0.6 %","18","176","1","b'Government'","b'Country'"
"546","Casula High School","0.5 %","111","551","3","b'Government'","b'Metro'"
"546","Oak Flats High School","0.5 %","54","368","2","b'Government'","b'Country'"
"548","Hunter Sports High School","0.5 %","38","194","1","b'Government'","b'Metro'"
"549","Fairfield High School","0.5 %","75","448","2","b'Government'","b'Metro'"
"550","Eden Marine High School","0.4 %","42","232","1","b'Government'","b'Country'"
"550","Kingswood High School","0.4 %","33","232","1","b'Government'","b'Metro'"
"552","Birrong Boys High School","0.4 %","44","237","1","b'Government'","b'Metro'"
"553","Deniliquin High School","0.4 %","39","243","1","b'Government'","b'Country'"
"553","The Hills Sports High School","0.4 %","93","490","2","b'Government'","b'Metro'"
"555","Canobolas Rural Technology High School","0.4 %","41","251","1","b'Government'","b'Country'"
"555","Cessnock High School","0.4 %","46","250","1","b'Government'","b'Country'"
"555","Chatham High School","0.4 %","44","247","1","b'Government'","b'Country'"
"555","Kurri Kurri High School","0.4 %","32","253","1","b'Government'","b'Country'"
"559","Thomas Reddall High School","0.4 %","58","285","1","b'Government'","b'Metro'"
"560","De La Salle College,Ashfield,NSW,2131","0.3 %","49","307","1","b'Non-government'","b'Metro'"
"561","Cranebrook High School","0.3 %","57","325","1","b'Government'","b'Metro'"
"562","Lake Munmorah High School","0.3 %","53","337","1","b'Government'","b'Country'"
"563","Ingleburn High School","0.3 %","67","376","1","b'Government'","b'Metro'"
"564","Endeavour Sports High School","0.2 %","79","421","1","b'Government'","b'Metro'"
"564","Northlakes High School","0.2 %","78","419","1","b'Government'","b'Metro'"
"566","Holsworthy High School","0.2 %","88","456","1","b'Government'","b'Metro'"
