"84","Newtown High School of Performing Arts","17.6 %","184","979","172","b'Government'","b'Metro'"
"85","Ryde Secondary College","17.5 %","128","702","123","b'Govt. selective'","b'Metro'"
"86","Blue Mountains Grammar School","17.2 %","68","360","62","b'Non-government'","b'Metro'"
"87","Carlingford High School","17.2 %","171","866","149","b'Government'","b'Metro'"
"88","Mount St Benedict College","17.1 %","148","792","135","b'Non-government'","b'Metro'"
"89","Newington College","17.0 %","175","1003","170","b'Non-government'","b'Metro'"
"90","St Joseph's College (Hunters Hill)","16.9 %","192","1096","185","b'Non-government'","b'Metro'"
"91","Marist Catholic College Penshurst","16.9 %","88","516","87","b'Non-government'","b'Metro'"
"92","St Patrick's College (Strathfield)","16.7 %","174","1043","174","b'Non-government'","b'Metro'"
"93","Northern Beaches Secondary College Mackellar Girls Campus","16.6 %","143","788","131","b'Government'","b'Metro'"
"94","IPEKA Integrated Christian School","16.4 %","52","299","49","b'Non-government'","b'\xc2\xa0'"
"95","Macarthur Anglican School","16.3 %","60","343","56","b'Non-government'","b'Metro'"
"96","International Grammar School","16.3 %","109","613","100","b'Non-government'","b'Metro'"
"97","St Augustine's College Sydney","16.3 %","136","773","126","b'Non-government'","b'Metro'"
"98","The McDonald College","16.2 %","19","105","17","b'Non-government'","b'Metro'"
"99","Parramatta High School","16.2 %","144","779","126","b'Govt. selective'","b'Metro'"
"100","Our Lady of Mercy College Parramatta","16.1 %","134","820","132","b'Non-government'","b'Metro'"
"101","Canberra Grammar School","15.9 %","120","673","107","b'Non-government'","b'Metro'"
"102","Strathfield Girls High School","15.8 %","198","1048","166","b'Government'","b'Metro'"
"103","St Scholastica's College Glebe Point","15.8 %","149","848","134","b'Non-government'","b'Metro'"
"104","Covenant Christian School","15.7 %","76","407","64","b'Non-government'","b'Metro'"
"105","Castle Hill High School","15.6 %","200","1093","170","b'Government'","b'Metro'"
"106","Trinity Grammar School","15.5 %","120","703","109","b'Non-government'","b'Metro'"
"107","Oxford Falls Grammar School","14.6 %","94","472","69","b'Non-government'","b'Metro'"
"108","Kinross Wolaroi School","14.6 %","125","727","106","b'Non-government'","b'Country'"
"109","Rose Bay Secondary College","14.4 %","145","790","114","b'Government'","b'Metro'"
"110","Pittwater House Schools","14.4 %","53","278","40","b'Non-government'","b'Metro'"
"111","St Mary's Cathedral College","14.1 %","104","562","79","b'Non-government'","b'Metro'"
"112","Burwood Girls High School","14.0 %","215","1172","164","b'Government'","b'Metro'"
"113","Marist Sisters' College Woolwich","13.7 %","148","847","116","b'Non-government'","b'Metro'"
"114","Catherine McAuley Westmead","13.5 %","138","852","115","b'Non-government'","b'Metro'"
"115","Stella Maris College","13.5 %","129","691","93","b'Non-government'","b'Metro'"
"116","Arden Anglican School","13.4 %","66","358","48","b'Non-government'","b'Metro'"
"117","Bethany College","13.4 %","152","821","110","b'Non-government'","b'Metro'"
"118","Epping Boys High School","13.2 %","182","995","131","b'Government'","b'Metro'"
"119","Inaburra School","13.1 %","102","565","74","b'Non-government'","b'Metro'"
"120","Asquith Girls High School","12.9 %","158","785","101","b'Government'","b'Metro'"
"121","Sydney Secondary College Blackwattle Bay Campus","12.7 %","267","1336","170","b'Government'","b'Metro'"
"122","St Catherine's Catholic College (Singleton)","12.7 %","45","252","32","b'Non-government'","b'Country'"
"123","Marist College Kogarah","12.7 %","122","672","85","b'Non-government'","b'Metro'"
"124","St Marys Senior High School","12.5 %","438","2273","284","b'Government'","b'Metro'"
"125","Calrossy Anglican School","12.2 %","79","443","54","b'Non-government'","b'Country'"
"126","Waverley College","12.0 %","126","716","86","b'Non-government'","b'Metro'"
"127","Mount St Joseph Milperra","12.0 %","126","736","88","b'Non-government'","b'Metro'"
"128","St Patrick's College Sutherland","11.9 %","160","968","115","b'Non-government'","b'Metro'"
"129","Moorebank High School","11.9 %","130","708","84","b'Govt. selective'","b'Metro'"
"130","Penrith Anglican College","11.8 %","85","448","53","b'Non-government'","b'Metro'"
"131","Pacific Hills Christian School","11.8 %","113","638","75","b'Non-government'","b'Metro'"
"131","St John Bosco College","11.8 %","86","510","60","b'Non-government'","b'Metro'"
"131","Turramurra High School","11.8 %","184","986","116","b'Government'","b'Metro'"
"134","Red Bend Catholic College","11.8 %","79","468","55","b'Non-government'","b'Country'"
"135","Edmund Rice College","11.7 %","86","571","67","b'Non-government'","b'Metro'"
"135","The Scots School Albury","11.7 %","55","307","36","b'Non-government'","b'Country'"
"137","Thomas Hassall Anglican College","11.6 %","97","534","62","b'Non-government'","b'Metro'"
"138","Lambton High School","11.5 %","129","668","77","b'Government'","b'Country'"
"138","St Andrew's Cathedral School (Sydney)","11.5 %","121","668","77","b'Non-government'","b'Metro'"
"140","Georges River Grammar","11.5 %","68","382","44","b'Non-government'","b'Metro'"
"141","Cronulla High School","11.4 %","82","439","50","b'Government'","b'Metro'"
"142","Marcellin College","11.3 %","134","776","88","b'Non-government'","b'Metro'"
"143","Arndell Anglican College (Oakville)","11.3 %","76","434","49","b'Non-government'","b'Metro'"
"144","Clancy Catholic College","11.2 %","116","735","82","b'Non-government'","b'Metro'"
"144","Macquarie College","11.2 %","46","251","28","b'Non-government'","b'Metro'"
"146","Marist College North Shore","11.1 %","116","674","75","b'Non-government'","b'Metro'"
"147","Killarney Heights High School","11.1 %","125","632","70","b'Government'","b'Metro'"
"148","Riverside Girls High School","11.1 %","122","606","67","b'Government'","b'Metro'"
"149","Asquith Boys High School","11.0 %","65","356","39","b'Government'","b'Metro'"
"150","St Patrick's Marist College","10.9 %","130","761","83","b'Non-government'","b'Metro'"
"151","Wollongong High School of the Performing Arts","10.9 %","128","698","76","b'Government'","b'Metro'"
"152","St Mark's Coptic Orthodox College","10.9 %","57","294","32","b'Non-government'","b'Metro'"
"153","SCECGS Redlands","10.9 %","64","359","39","b'Non-government'","b'Metro'"
"154","Australian International School Singapore","10.8 %","69","381","41","b'Non-government'","b'Metro'"
"155","McAuley Catholic College","10.7 %","53","299","32","b'Non-government'","b'Metro'"
"155","Mosman High School","10.7 %","130","682","73","b'Government'","b'Metro'"
"157","Model Farms High School","10.7 %","111","665","71","b'Government'","b'Metro'"
"158","Northern Beaches Secondary College Freshwater Senior Campus","10.7 %","285","1390","148","b'Government'","b'Metro'"
"159","St Ives High School","10.4 %","139","728","76","b'Government'","b'Metro'"
"160","Hunter Valley Grammar School","10.4 %","96","548","57","b'Non-government'","b'Metro'"
"161","St Mary Star of the Sea College","10.3 %","180","1008","104","b'Non-government'","b'Metro'"
"162","St Pius X College","10.3 %","152","917","94","b'Non-government'","b'Metro'"
"163","Northern Beaches Christian School","10.2 %","78","411","42","b'Non-government'","b'Metro'"
"164","Bethlehem College","10.2 %","120","657","67","b'Non-government'","b'Metro'"
"164","St Francis De Sales Regional College","10.2 %","79","510","52","b'Non-government'","b'Metro'"
"166","Pennant Hills High School","10.1 %","146","822","83","b'Government'","b'Metro'"
"167","Sapphire Coast Anglican College,Bega,NSW,2550","10.1 %","21","109","11","b'Non-government'","b'Country'"
"168","St George Christian School","10.0 %","70","370","37","b'Non-government'","b'Metro'"
"169","William Branwhite Clarke College","10.0 %","149","861","86","b'Non-government'","b'Metro'"
"170","James Sheahan Catholic High School","10.0 %","137","773","77","b'Non-government'","b'Country'"
"171","Pittwater High School","9.8 %","85","498","49","b'Government'","b'Metro'"
"172","Trinity Catholic College (Auburn)","9.8 %","167","946","93","b'Non-government'","b'Metro'"
"173","Marist College Eastwood","9.8 %","96","602","59","b'Non-government'","b'Metro'"
"174","St Clare's College","9.8 %","65","337","33","b'Non-government'","b'Metro'"
"175","De La Salle Catholic College,Cronulla,NSW,2230","9.7 %","193","1068","104","b'Non-government'","b'Metro'"
"176","Engadine High School","9.7 %","127","683","66","b'Government'","b'Metro'"
"177","Sutherland Shire Christian School","9.6 %","64","374","36","b'Non-government'","b'Metro'"
"178","Rosebank College","9.6 %","178","967","93","b'Non-government'","b'Metro'"
"179","De La Salle College,Revesby Heights,NSW,2212","9.6 %","69","398","38","b'Non-government'","b'Metro'"
"180","Alexandria Park Community School","9.5 %","43","242","23","b'Govt. selective'","b'Metro'"
"181","St John's College,Woodlawn,NSW,2480","9.4 %","97","552","52","b'Non-government'","b'Country'"
"182","Marian Catholic College (Kenthurst)","9.4 %","123","660","62","b'Non-government'","b'Metro'"
"183","Port Hacking High School","9.4 %","135","770","72","b'Government'","b'Metro'"
"184","Hunters Hill High School","9.3 %","78","429","40","b'Government'","b'Metro'"
"185","Domremy Catholic College","9.3 %","73","419","39","b'Non-government'","b'Metro'"
"186","Macarthur Girls High School","9.3 %","166","906","84","b'Government'","b'Metro'"
"187","Mater Maria Catholic College","9.3 %","152","842","78","b'Non-government'","b'Metro'"
"188","St John's College,Dubbo","9.3 %","123","703","65","b'Non-government'","b'Country'"
"189","St Columba's Catholic College","9.2 %","131","741","68","b'Non-government'","b'Metro'"
"190","Tempe High School","9.2 %","134","753","69","b'Govt. selective'","b'Metro'"
"191","MacKillop College Port Macquarie","9.1 %","122","714","65","b'Non-government'","b'Country'"
"192","St Joseph's Regional College","9.1 %","106","607","55","b'Non-government'","b'Country'"
"193","Cerdon College","9.0 %","173","1011","91","b'Non-government'","b'Metro'"
"193","Oakhill College Castle Hill","9.0 %","326","1978","178","b'Non-government'","b'Metro'"
"195","East Hills Girls Technology High School","8.9 %","134","716","64","b'Government'","b'Metro'"
"196","Trinity Catholic College (Lismore)","8.9 %","145","840","75","b'Non-government'","b'Country'"
"197","St Joseph's Catholic College","8.9 %","142","766","68","b'Non-government'","b'Metro'"
"198","Galston High School","8.9 %","56","327","29","b'Government'","b'Metro'"
"199","St Spyridon College","8.8 %","59","317","28","b'Non-government'","b'Metro'"
"200","Canley Vale High School","8.8 %","206","1189","104","b'Government'","b'Metro'"
"201","St Clare's High School","8.7 %","72","437","38","b'Non-government'","b'Metro'"
"202","St Euphemia College","8.7 %","79","439","38","b'Non-government'","b'Metro'"
"203","Our Lady of The Sacred Heart College (Kensington)","8.6 %","137","757","65","b'Non-government'","b'Metro'"
